"firstname","count","district","sex","strata"
"Ìllìvna",1,"neukölln","f","f-Ìllìvna"
"Öykü",1,"neukölln","f","f-Öykü"
"Özlem",1,"neukölln","f","f-Özlem"
"Đeni",1,"neukölln","f","f-Đeni"
"Şeyma",1,"neukölln","f","f-Şeyma"
"Ștefania",1,"neukölln","f","f-Ștefania"
"Marie",112,"pankow","f","f-Marie"
"Sophie",84,"pankow","f","f-Sophie"
"Charlotte",81,"pankow","f","f-Charlotte"
"Alexander",68,"pankow","m","m-Alexander"
"Paul",57,"pankow","m","m-Paul"
"Maximilian",51,"pankow","m","m-Maximilian"
"Mia",49,"pankow","f","f-Mia"
"Oskar",47,"pankow","m","m-Oskar"
"Johanna",47,"pankow","f","f-Johanna"
"Emilia",45,"pankow","f","f-Emilia"
"Emma",44,"pankow","f","f-Emma"
"Maria",44,"pankow","f","f-Maria"
"Emil",43,"pankow","m","m-Emil"
"Theodor",43,"pankow","m","m-Theodor"
"Elias",42,"pankow","m","m-Elias"
"Anton",41,"pankow","m","m-Anton"
"Jonas",40,"pankow","m","m-Jonas"
"Anna",40,"pankow","f","f-Anna"
"Elisabeth",40,"pankow","f","f-Elisabeth"
"Luise",40,"pankow","f","f-Luise"
"Lina",39,"pankow","f","f-Lina"
"Sophia",36,"pankow","f","f-Sophia"
"Ben",35,"pankow","m","m-Ben"
"Noah",35,"pankow","m","m-Noah"
"Greta",35,"pankow","f","f-Greta"
"Felix",33,"pankow","m","m-Felix"
"Luca",31,"pankow","m","m-Luca"
"Karl",30,"pankow","m","m-Karl"
"Leonard",28,"pankow","m","m-Leonard"
"Ella",28,"pankow","f","f-Ella"
"Mathilda",28,"pankow","f","f-Mathilda"
"Jonathan",27,"pankow","m","m-Jonathan"
"Louis",27,"pankow","m","m-Louis"
"Lea",27,"pankow","f","f-Lea"
"Leo",26,"pankow","m","m-Leo"
"Theo",26,"pankow","m","m-Theo"
"Emily",25,"pankow","f","f-Emily"
"Frieda",25,"pankow","f","f-Frieda"
"Finn",25,"pankow","m","m-Finn"
"Laura",25,"pankow","f","f-Laura"
"Moritz",25,"pankow","m","m-Moritz"
"Nele",25,"pankow","f","f-Nele"
"Benjamin",24,"pankow","m","m-Benjamin"
"Marlene",24,"pankow","f","f-Marlene"
"Henry",24,"pankow","m","m-Henry"
"Matilda",24,"pankow","f","f-Matilda"
"Leon",24,"pankow","m","m-Leon"
"Liam",24,"pankow","m","m-Liam"
"Erik",23,"pankow","m","m-Erik"
"Friedrich",23,"pankow","m","m-Friedrich"
"Johann",23,"pankow","m","m-Johann"
"Hannah",22,"pankow","f","f-Hannah"
"Jakob",22,"pankow","m","m-Jakob"
"Niklas",22,"pankow","m","m-Niklas"
"Clara",21,"pankow","f","f-Clara"
"Leni",21,"pankow","f","f-Leni"
"Luisa",21,"pankow","f","f-Luisa"
"Arthur",21,"pankow","m","m-Arthur"
"Lukas",21,"pankow","m","m-Lukas"
"Max",21,"pankow","m","m-Max"
"Milan",21,"pankow","m","m-Milan"
"Tim",21,"pankow","m","m-Tim"
"Amelie",20,"pankow","f","f-Amelie"
"Paulina",20,"pankow","f","f-Paulina"
"Pauline",20,"pankow","f","f-Pauline"
"Matteo",20,"pankow","m","m-Matteo"
"Philipp",20,"pankow","m","m-Philipp"
"Lara",19,"pankow","f","f-Lara"
"Lena",19,"pankow","f","f-Lena"
"Mila",19,"pankow","f","f-Mila"
"Pepe",19,"pankow","m","m-Pepe"
"Leonie",18,"pankow","f","f-Leonie"
"Georg",18,"pankow","m","m-Georg"
"Johannes",18,"pankow","m","m-Johannes"
"Valentin",18,"pankow","m","m-Valentin"
"Antonia",17,"pankow","f","f-Antonia"
"Hanna",17,"pankow","f","f-Hanna"
"Klara",17,"pankow","f","f-Klara"
"Lotta",17,"pankow","f","f-Lotta"
"Mara",17,"pankow","f","f-Mara"
"Paula",17,"pankow","f","f-Paula"
"Carl",17,"pankow","m","m-Carl"
"Julian",17,"pankow","m","m-Julian"
"Julius",17,"pankow","m","m-Julius"
"Tom",17,"pankow","m","m-Tom"
"Helena",16,"pankow","f","f-Helena"
"Mira",16,"pankow","f","f-Mira"
"Bruno",16,"pankow","m","m-Bruno"
"Florian",16,"pankow","m","m-Florian"
"Henri",16,"pankow","m","m-Henri"
"John",16,"pankow","m","m-John"
"Levi",16,"pankow","m","m-Levi"
"Michael",16,"pankow","m","m-Michael"
"Richard",16,"pankow","m","m-Richard"
"Samuel",16,"pankow","m","m-Samuel"
"Till",16,"pankow","m","m-Till"
"Ava",15,"pankow","f","f-Ava"
"Henriette",15,"pankow","f","f-Henriette"
"Adrian",15,"pankow","m","m-Adrian"
"David",15,"pankow","m","m-David"
"Fritz",15,"pankow","m","m-Fritz"
"Gustav",15,"pankow","m","m-Gustav"
"Linus",15,"pankow","m","m-Linus"
"Thomas",15,"pankow","m","m-Thomas"
"Alexandra",14,"pankow","f","f-Alexandra"
"Carlotta",14,"pankow","f","f-Carlotta"
"Elise",14,"pankow","f","f-Elise"
"Ida",14,"pankow","f","f-Ida"
"Lilly",14,"pankow","f","f-Lilly"
"Lisa",14,"pankow","f","f-Lisa"
"Lucia",14,"pankow","f","f-Lucia"
"Pia",14,"pankow","f","f-Pia"
"Justus",14,"pankow","m","m-Justus"
"Luis",14,"pankow","m","m-Luis"
"Mats",14,"pankow","m","m-Mats"
"Elisa",13,"pankow","f","f-Elisa"
"Frida",13,"pankow","f","f-Frida"
"Julia",13,"pankow","f","f-Julia"
"Luna",13,"pankow","f","f-Luna"
"Maja",13,"pankow","f","f-Maja"
"Mina",13,"pankow","f","f-Mina"
"Olivia",13,"pankow","f","f-Olivia"
"Sarah",13,"pankow","f","f-Sarah"
"Sofia",13,"pankow","f","f-Sofia"
"Tilda",13,"pankow","f","f-Tilda"
"Aaron",13,"pankow","m","m-Aaron"
"Albert",13,"pankow","m","m-Albert"
"Christian",13,"pankow","m","m-Christian"
"Edgar",13,"pankow","m","m-Edgar"
"Maxim",13,"pankow","m","m-Maxim"
"Mika",13,"pankow","m","m-Mika"
"Ole",13,"pankow","m","m-Ole"
"Oliver",13,"pankow","m","m-Oliver"
"Raphael",13,"pankow","m","m-Raphael"
"Vincent",13,"pankow","m","m-Vincent"
"Amalia",12,"pankow","f","f-Amalia"
"Isabella",12,"pankow","f","f-Isabella"
"Katharina",12,"pankow","f","f-Katharina"
"Maya",12,"pankow","f","f-Maya"
"Nora",12,"pankow","f","f-Nora"
"Stella",12,"pankow","f","f-Stella"
"Fabian",12,"pankow","m","m-Fabian"
"Konstantin",12,"pankow","m","m-Konstantin"
"Leopold",12,"pankow","m","m-Leopold"
"Levin",12,"pankow","m","m-Levin"
"Matthias",12,"pankow","m","m-Matthias"
"Milo",12,"pankow","m","m-Milo"
"Noel",12,"pankow","m","m-Noel"
"Tobias",12,"pankow","m","m-Tobias"
"Willi",12,"pankow","m","m-Willi"
"Alina",11,"pankow","f","f-Alina"
"Elena",11,"pankow","f","f-Elena"
"Elsa",11,"pankow","f","f-Elsa"
"Helene",11,"pankow","f","f-Helene"
"Lotte",11,"pankow","f","f-Lotte"
"Martha",11,"pankow","f","f-Martha"
"Rosa",11,"pankow","f","f-Rosa"
"Ruth",11,"pankow","f","f-Ruth"
"Ferdinand",11,"pankow","m","m-Ferdinand"
"Nicolas",11,"pankow","m","m-Nicolas"
"Peter",11,"pankow","m","m-Peter"
"Wilhelm",11,"pankow","m","m-Wilhelm"
"Alma",10,"pankow","f","f-Alma"
"Amelia",10,"pankow","f","f-Amelia"
"Edda",10,"pankow","f","f-Edda"
"Flora",10,"pankow","f","f-Flora"
"Jasmin",10,"pankow","f","f-Jasmin"
"Käthe",10,"pankow","f","f-Käthe"
"Lou",10,"pankow","f","f-Lou"
"Louisa",10,"pankow","f","f-Louisa"
"Louise",10,"pankow","f","f-Louise"
"Melina",10,"pankow","f","f-Melina"
"Adam",10,"pankow","m","m-Adam"
"Nina",10,"pankow","f","f-Nina"
"Constantin",10,"pankow","m","m-Constantin"
"Rosalie",10,"pankow","f","f-Rosalie"
"Franz",10,"pankow","m","m-Franz"
"Jannis",10,"pankow","m","m-Jannis"
"Jona",10,"pankow","m","m-Jona"
"Jonah",10,"pankow","m","m-Jonah"
"Matti",10,"pankow","m","m-Matti"
"Mattis",10,"pankow","m","m-Mattis"
"Simon",10,"pankow","m","m-Simon"
"Anni",9,"pankow","f","f-Anni"
"Elina",9,"pankow","f","f-Elina"
"Milena",9,"pankow","f","f-Milena"
"Victoria",9,"pankow","f","f-Victoria"
"Andreas",9,"pankow","m","m-Andreas"
"Daniel",9,"pankow","m","m-Daniel"
"Eric",9,"pankow","m","m-Eric"
"Gabriel",9,"pankow","m","m-Gabriel"
"Hans",9,"pankow","m","m-Hans"
"Hugo",9,"pankow","m","m-Hugo"
"Joel",9,"pankow","m","m-Joel"
"Malte",9,"pankow","m","m-Malte"
"Eva",8,"pankow","f","f-Eva"
"Florentine",8,"pankow","f","f-Florentine"
"Friederike",8,"pankow","f","f-Friederike"
"Grace",8,"pankow","f","f-Grace"
"Josephine",8,"pankow","f","f-Josephine"
"Karla",8,"pankow","f","f-Karla"
"Miriam",8,"pankow","f","f-Miriam"
"Valentina",8,"pankow","f","f-Valentina"
"André",8,"pankow","m","m-André"
"Bennet",8,"pankow","m","m-Bennet"
"Caspar",8,"pankow","m","m-Caspar"
"Finley",8,"pankow","m","m-Finley"
"Fynn",8,"pankow","m","m-Fynn"
"Jan",8,"pankow","m","m-Jan"
"Leander",8,"pankow","m","m-Leander"
"Marc",8,"pankow","m","m-Marc"
"Martin",8,"pankow","m","m-Martin"
"Mike",8,"pankow","m","m-Mike"
"Oscar",8,"pankow","m","m-Oscar"
"Alva",7,"pankow","f","f-Alva"
"Anastasia",7,"pankow","f","f-Anastasia"
"Annika",7,"pankow","f","f-Annika"
"Barbara",7,"pankow","f","f-Barbara"
"Dorothea",7,"pankow","f","f-Dorothea"
"Ellie",7,"pankow","f","f-Ellie"
"Fritzi",7,"pankow","f","f-Fritzi"
"Isabelle",7,"pankow","f","f-Isabelle"
"Jette",7,"pankow","f","f-Jette"
"Jolie",7,"pankow","f","f-Jolie"
"Liv",7,"pankow","f","f-Liv"
"Magdalena",7,"pankow","f","f-Magdalena"
"Malou",7,"pankow","f","f-Malou"
"Mariella",7,"pankow","f","f-Mariella"
"August",7,"pankow","m","m-August"
"Marta",7,"pankow","f","f-Marta"
"Carlo",7,"pankow","m","m-Carlo"
"Rose",7,"pankow","f","f-Rose"
"Christoph",7,"pankow","m","m-Christoph"
"Zoe",7,"pankow","f","f-Zoe"
"Frank",7,"pankow","m","m-Frank"
"Ian",7,"pankow","m","m-Ian"
"Jasper",7,"pankow","m","m-Jasper"
"Joshua",7,"pankow","m","m-Joshua"
"Lasse",7,"pankow","m","m-Lasse"
"Luke",7,"pankow","m","m-Luke"
"Marlon",7,"pankow","m","m-Marlon"
"Matheo",7,"pankow","m","m-Matheo"
"Phil",7,"pankow","m","m-Phil"
"Robin",7,"pankow","m","m-Robin"
"Sam",7,"pankow","m","m-Sam"
"Anne",6,"pankow","f","f-Anne"
"Anouk",6,"pankow","f","f-Anouk"
"Christin",6,"pankow","f","f-Christin"
"Eleonore",6,"pankow","f","f-Eleonore"
"Elin",6,"pankow","f","f-Elin"
"Fiona",6,"pankow","f","f-Fiona"
"Isabel",6,"pankow","f","f-Isabel"
"Isabell",6,"pankow","f","f-Isabell"
"Joleen",6,"pankow","f","f-Joleen"
"Josefine",6,"pankow","f","f-Josefine"
"Julie",6,"pankow","f","f-Julie"
"Ahmad",6,"pankow","m","m-Ahmad"
"Juna",6,"pankow","f","f-Juna"
"Bela",6,"pankow","m","m-Bela"
"Kira",6,"pankow","f","f-Kira"
"Carlos",6,"pankow","m","m-Carlos"
"Lana",6,"pankow","f","f-Lana"
"Dean",6,"pankow","m","m-Dean"
"Lia",6,"pankow","f","f-Lia"
"Egon",6,"pankow","m","m-Egon"
"Lucy",6,"pankow","f","f-Lucy"
"Frederik",6,"pankow","m","m-Frederik"
"Malina",6,"pankow","f","f-Malina"
"Hannes",6,"pankow","m","m-Hannes"
"Sofie",6,"pankow","f","f-Sofie"
"Jacob",6,"pankow","m","m-Jacob"
"Tessa",6,"pankow","f","f-Tessa"
"Jamie",6,"pankow","m","m-Jamie"
"Theresa",6,"pankow","f","f-Theresa"
"Jannik",6,"pankow","m","m-Jannik"
"Zoey",6,"pankow","f","f-Zoey"
"Janosch",6,"pankow","m","m-Janosch"
"Kilian",6,"pankow","m","m-Kilian"
"Kurt",6,"pankow","m","m-Kurt"
"Lennox",6,"pankow","m","m-Lennox"
"Lian",6,"pankow","m","m-Lian"
"Luka",6,"pankow","m","m-Luka"
"Otto",6,"pankow","m","m-Otto"
"Sebastian",6,"pankow","m","m-Sebastian"
"Wolfgang",6,"pankow","m","m-Wolfgang"
"Ada",5,"pankow","f","f-Ada"
"Alena",5,"pankow","f","f-Alena"
"Amy",5,"pankow","f","f-Amy"
"Cataleya",5,"pankow","f","f-Cataleya"
"Cosima",5,"pankow","f","f-Cosima"
"Doris",5,"pankow","f","f-Doris"
"Eliza",5,"pankow","f","f-Eliza"
"Elli",5,"pankow","f","f-Elli"
"Elly",5,"pankow","f","f-Elly"
"Alfred",5,"pankow","m","m-Alfred"
"Emilie",5,"pankow","f","f-Emilie"
"Ali",5,"pankow","m","m-Ali"
"Enie",5,"pankow","f","f-Enie"
"Arne",5,"pankow","m","m-Arne"
"Erika",5,"pankow","f","f-Erika"
"Arvid",5,"pankow","m","m-Arvid"
"Finja",5,"pankow","f","f-Finja"
"Aurelius",5,"pankow","m","m-Aurelius"
"Gabriele",5,"pankow","f","f-Gabriele"
"Benedikt",5,"pankow","m","m-Benedikt"
"Hedda",5,"pankow","f","f-Hedda"
"Christopher",5,"pankow","m","m-Christopher"
"Jonna",5,"pankow","f","f-Jonna"
"Colin",5,"pankow","m","m-Colin"
"Karoline",5,"pankow","f","f-Karoline"
"Emilian",5,"pankow","m","m-Emilian"
"Lilli",5,"pankow","f","f-Lilli"
"Fiete",5,"pankow","m","m-Fiete"
"Lilou",5,"pankow","f","f-Lilou"
"Finnley",5,"pankow","m","m-Finnley"
"Lynn",5,"pankow","f","f-Lynn"
"Hendrik",5,"pankow","m","m-Hendrik"
"Maila",5,"pankow","f","f-Maila"
"Ilay",5,"pankow","m","m-Ilay"
"Malia",5,"pankow","f","f-Malia"
"Jaron",5,"pankow","m","m-Jaron"
"Marla",5,"pankow","f","f-Marla"
"Johan",5,"pankow","m","m-Johan"
"Melissa",5,"pankow","f","f-Melissa"
"Jörg",5,"pankow","m","m-Jörg"
"Merle",5,"pankow","f","f-Merle"
"Jürgen",5,"pankow","m","m-Jürgen"
"Milla",5,"pankow","f","f-Milla"
"Kai",5,"pankow","m","m-Kai"
"Natalie",5,"pankow","f","f-Natalie"
"Kasimir",5,"pankow","m","m-Kasimir"
"Romy",5,"pankow","f","f-Romy"
"Konrad",5,"pankow","m","m-Konrad"
"Sabine",5,"pankow","f","f-Sabine"
"Lars",5,"pankow","m","m-Lars"
"Sina",5,"pankow","f","f-Sina"
"Lennard",5,"pankow","m","m-Lennard"
"Wilma",5,"pankow","f","f-Wilma"
"Leonhard",5,"pankow","m","m-Leonhard"
"Lionel",5,"pankow","m","m-Lionel"
"Ludwig",5,"pankow","m","m-Ludwig"
"Marvin",5,"pankow","m","m-Marvin"
"Noam",5,"pankow","m","m-Noam"
"Rafael",5,"pankow","m","m-Rafael"
"Stephan",5,"pankow","m","m-Stephan"
"Thore",5,"pankow","m","m-Thore"
"William",5,"pankow","m","m-William"
"Alicia",4,"pankow","f","f-Alicia"
"Alissa",4,"pankow","f","f-Alissa"
"Alyssa",4,"pankow","f","f-Alyssa"
"Amira",4,"pankow","f","f-Amira"
"Annabell",4,"pankow","f","f-Annabell"
"Annelie",4,"pankow","f","f-Annelie"
"Aurelia",4,"pankow","f","f-Aurelia"
"Carla",4,"pankow","f","f-Carla"
"Caroline",4,"pankow","f","f-Caroline"
"Bernd",4,"pankow","m","m-Bernd"
"Charlott",4,"pankow","f","f-Charlott"
"Charlie",4,"pankow","m","m-Charlie"
"Christine",4,"pankow","f","f-Christine"
"Conner",4,"pankow","m","m-Conner"
"Edith",4,"pankow","f","f-Edith"
"Damian",4,"pankow","m","m-Damian"
"Fabienne",4,"pankow","f","f-Fabienne"
"Elyas",4,"pankow","m","m-Elyas"
"Hailey",4,"pankow","f","f-Hailey"
"Emilio",4,"pankow","m","m-Emilio"
"Hedwig",4,"pankow","f","f-Hedwig"
"Enrico",4,"pankow","m","m-Enrico"
"Heidi",4,"pankow","f","f-Heidi"
"Erich",4,"pankow","m","m-Erich"
"Jane",4,"pankow","f","f-Jane"
"Etienne",4,"pankow","m","m-Etienne"
"Joline",4,"pankow","f","f-Joline"
"Frederick",4,"pankow","m","m-Frederick"
"Josephin",4,"pankow","f","f-Josephin"
"Günter",4,"pankow","m","m-Günter"
"Karin",4,"pankow","f","f-Karin"
"Heinz",4,"pankow","m","m-Heinz"
"Karlotta",4,"pankow","f","f-Karlotta"
"Henning",4,"pankow","m","m-Henning"
"Larissa",4,"pankow","f","f-Larissa"
"James",4,"pankow","m","m-James"
"Leah",4,"pankow","f","f-Leah"
"Janne",4,"pankow","m","m-Janne"
"Lene",4,"pankow","f","f-Lene"
"Jannes",4,"pankow","m","m-Jannes"
"Leonora",4,"pankow","f","f-Leonora"
"Jason",4,"pankow","m","m-Jason"
"Leticia",4,"pankow","f","f-Leticia"
"Jonte",4,"pankow","m","m-Jonte"
"Linda",4,"pankow","f","f-Linda"
"Joris",4,"pankow","m","m-Joris"
"Luca",4,"pankow","f","f-Luca"
"Josef",4,"pankow","m","m-Josef"
"Mala",4,"pankow","f","f-Mala"
"Kaspar",4,"pankow","m","m-Kaspar"
"Marleen",4,"pankow","f","f-Marleen"
"Lennart",4,"pankow","m","m-Lennart"
"Mathilde",4,"pankow","f","f-Mathilde"
"Lias",4,"pankow","m","m-Lias"
"Melia",4,"pankow","f","f-Melia"
"Lion",4,"pankow","m","m-Lion"
"Ophelia",4,"pankow","f","f-Ophelia"
"Luan",4,"pankow","m","m-Luan"
"Sara",4,"pankow","f","f-Sara"
"Lucas",4,"pankow","m","m-Lucas"
"Toni",4,"pankow","f","f-Toni"
"Manfred",4,"pankow","m","m-Manfred"
"Valerie",4,"pankow","f","f-Valerie"
"Marcel",4,"pankow","m","m-Marcel"
"Vanessa",4,"pankow","f","f-Vanessa"
"Mio",4,"pankow","m","m-Mio"
"Veronika",4,"pankow","f","f-Veronika"
"Nick",4,"pankow","m","m-Nick"
"Viktoria",4,"pankow","f","f-Viktoria"
"Nikolai",4,"pankow","m","m-Nikolai"
"Viola",4,"pankow","f","f-Viola"
"Nils",4,"pankow","m","m-Nils"
"Yara",4,"pankow","f","f-Yara"
"Nino",4,"pankow","m","m-Nino"
"Zoé",4,"pankow","f","f-Zoé"
"Pascal",4,"pankow","m","m-Pascal"
"Piet",4,"pankow","m","m-Piet"
"Robert",4,"pankow","m","m-Robert"
"Roman",4,"pankow","m","m-Roman"
"Stefan",4,"pankow","m","m-Stefan"
"Tammo",4,"pankow","m","m-Tammo"
"Toni",4,"pankow","m","m-Toni"
"Tony",4,"pankow","m","m-Tony"
"Tristan",4,"pankow","m","m-Tristan"
"Yannick",4,"pankow","m","m-Yannick"
"Adele",3,"pankow","f","f-Adele"
"Aino",3,"pankow","f","f-Aino"
"Alea",3,"pankow","f","f-Alea"
"Alessia",3,"pankow","f","f-Alessia"
"Alice",3,"pankow","f","f-Alice"
"Alisa",3,"pankow","f","f-Alisa"
"Angelina",3,"pankow","f","f-Angelina"
"Anh",3,"pankow","f","f-Anh"
"Anneliese",3,"pankow","f","f-Anneliese"
"Annette",3,"pankow","f","f-Annette"
"Alessio",3,"pankow","m","m-Alessio"
"Annie",3,"pankow","f","f-Annie"
"Ansgar",3,"pankow","m","m-Ansgar"
"Antonie",3,"pankow","f","f-Antonie"
"Anthony",3,"pankow","m","m-Anthony"
"Aurora",3,"pankow","f","f-Aurora"
"Antonio",3,"pankow","m","m-Antonio"
"Celine",3,"pankow","f","f-Celine"
"Arik",3,"pankow","m","m-Arik"
"Daria",3,"pankow","f","f-Daria"
"Aron",3,"pankow","m","m-Aron"
"Darina",3,"pankow","f","f-Darina"
"Artur",3,"pankow","m","m-Artur"
"Diana",3,"pankow","f","f-Diana"
"Balthasar",3,"pankow","m","m-Balthasar"
"Dora",3,"pankow","f","f-Dora"
"Bennett",3,"pankow","m","m-Bennett"
"Elea",3,"pankow","f","f-Elea"
"Bilal",3,"pankow","m","m-Bilal"
"Eleni",3,"pankow","f","f-Eleni"
"Bodo",3,"pankow","m","m-Bodo"
"Eleonora",3,"pankow","f","f-Eleonora"
"Béla",3,"pankow","m","m-Béla"
"Emmi",3,"pankow","f","f-Emmi"
"Casper",3,"pankow","m","m-Casper"
"Enni",3,"pankow","f","f-Enni"
"Clemens",3,"pankow","m","m-Clemens"
"Estelle",3,"pankow","f","f-Estelle"
"Collin",3,"pankow","m","m-Collin"
"Eve",3,"pankow","f","f-Eve"
"Cornelius",3,"pankow","m","m-Cornelius"
"Evelyn",3,"pankow","f","f-Evelyn"
"Dante",3,"pankow","m","m-Dante"
"Franziska",3,"pankow","f","f-Franziska"
"Davis",3,"pankow","m","m-Davis"
"Freya",3,"pankow","f","f-Freya"
"Dirk",3,"pankow","m","m-Dirk"
"Gertrud",3,"pankow","f","f-Gertrud"
"Emanuel",3,"pankow","m","m-Emanuel"
"Hedi",3,"pankow","f","f-Hedi"
"Ernst",3,"pankow","m","m-Ernst"
"Helga",3,"pankow","f","f-Helga"
"Fabio",3,"pankow","m","m-Fabio"
"Henrietta",3,"pankow","f","f-Henrietta"
"Fred",3,"pankow","m","m-Fred"
"Hilda",3,"pankow","f","f-Hilda"
"Fridolin",3,"pankow","m","m-Fridolin"
"Holly",3,"pankow","f","f-Holly"
"Gregor",3,"pankow","m","m-Gregor"
"Inge",3,"pankow","f","f-Inge"
"Heinrich",3,"pankow","m","m-Heinrich"
"Isa",3,"pankow","f","f-Isa"
"Henrik",3,"pankow","m","m-Henrik"
"Jana",3,"pankow","f","f-Jana"
"Jari",3,"pankow","m","m-Jari"
"Juno",3,"pankow","f","f-Juno"
"Jascha",3,"pankow","m","m-Jascha"
"Kiara",3,"pankow","f","f-Kiara"
"Jayden",3,"pankow","m","m-Jayden"
"Leandra",3,"pankow","f","f-Leandra"
"Jeremias",3,"pankow","m","m-Jeremias"
"Leonore",3,"pankow","f","f-Leonore"
"Joachim",3,"pankow","m","m-Joachim"
"Liah",3,"pankow","f","f-Liah"
"Jordan",3,"pankow","m","m-Jordan"
"Lilia",3,"pankow","f","f-Lilia"
"Juri",3,"pankow","m","m-Juri"
"Liliana",3,"pankow","f","f-Liliana"
"Laurens",3,"pankow","m","m-Laurens"
"Linnea",3,"pankow","f","f-Linnea"
"Lenny",3,"pankow","m","m-Lenny"
"Livia",3,"pankow","f","f-Livia"
"Leonardo",3,"pankow","m","m-Leonardo"
"Luzie",3,"pankow","f","f-Luzie"
"Leonas",3,"pankow","m","m-Leonas"
"Lydia",3,"pankow","f","f-Lydia"
"Lorenz",3,"pankow","m","m-Lorenz"
"Madita",3,"pankow","f","f-Madita"
"Louie",3,"pankow","m","m-Louie"
"Maite",3,"pankow","f","f-Maite"
"Magnus",3,"pankow","m","m-Magnus"
"Margarete",3,"pankow","f","f-Margarete"
"Maik",3,"pankow","m","m-Maik"
"Marianne",3,"pankow","f","f-Marianne"
"Malik",3,"pankow","m","m-Malik"
"Marlen",3,"pankow","f","f-Marlen"
"Marten",3,"pankow","m","m-Marten"
"Maxi",3,"pankow","f","f-Maxi"
"Mathis",3,"pankow","m","m-Mathis"
"Mika",3,"pankow","f","f-Mika"
"Minh",3,"pankow","m","m-Minh"
"Nila",3,"pankow","f","f-Nila"
"Miro",3,"pankow","m","m-Miro"
"Nola",3,"pankow","f","f-Nola"
"Mohammad",3,"pankow","m","m-Mohammad"
"Rebecca",3,"pankow","f","f-Rebecca"
"Nael",3,"pankow","m","m-Nael"
"Renée",3,"pankow","f","f-Renée"
"Nathan",3,"pankow","m","m-Nathan"
"Ronja",3,"pankow","f","f-Ronja"
"Nathanael",3,"pankow","m","m-Nathanael"
"Runa",3,"pankow","f","f-Runa"
"Niclas",3,"pankow","m","m-Niclas"
"Samantha",3,"pankow","f","f-Samantha"
"Nico",3,"pankow","m","m-Nico"
"Sonja",3,"pankow","f","f-Sonja"
"Nikolas",3,"pankow","m","m-Nikolas"
"Sunny",3,"pankow","f","f-Sunny"
"Olaf",3,"pankow","m","m-Olaf"
"Susanne",3,"pankow","f","f-Susanne"
"Philip",3,"pankow","m","m-Philip"
"Svea",3,"pankow","f","f-Svea"
"Phillip",3,"pankow","m","m-Phillip"
"Tabea",3,"pankow","f","f-Tabea"
"Quentin",3,"pankow","m","m-Quentin"
"Tamina",3,"pankow","f","f-Tamina"
"Ralf",3,"pankow","m","m-Ralf"
"Thea",3,"pankow","f","f-Thea"
"René",3,"pankow","m","m-René"
"Ute",3,"pankow","f","f-Ute"
"Ryan",3,"pankow","m","m-Ryan"
"Wanda",3,"pankow","f","f-Wanda"
"Sascha",3,"pankow","m","m-Sascha"
"Xenia",3,"pankow","f","f-Xenia"
"Siegfried",3,"pankow","m","m-Siegfried"
"Yasmin",3,"pankow","f","f-Yasmin"
"Simeon",3,"pankow","m","m-Simeon"
"Taylor",3,"pankow","m","m-Taylor"
"Thies",3,"pankow","m","m-Thies"
"Timo",3,"pankow","m","m-Timo"
"Tyler",3,"pankow","m","m-Tyler"
"Ulrich",3,"pankow","m","m-Ulrich"
"Victor",3,"pankow","m","m-Victor"
"Walter",3,"pankow","m","m-Walter"
"Abby",2,"pankow","f","f-Abby"
"Abena",2,"pankow","f","f-Abena"
"Agata",2,"pankow","f","f-Agata"
"Agnes",2,"pankow","f","f-Agnes"
"Alexis",2,"pankow","f","f-Alexis"
"Aljona",2,"pankow","f","f-Aljona"
"Amara",2,"pankow","f","f-Amara"
"Amilia",2,"pankow","f","f-Amilia"
"Abel",2,"pankow","m","m-Abel"
"Angela",2,"pankow","f","f-Angela"
"Adem",2,"pankow","m","m-Adem"
"Anita",2,"pankow","f","f-Anita"
"Adonis",2,"pankow","m","m-Adonis"
"Ann",2,"pankow","f","f-Ann"
"Ahmed",2,"pankow","m","m-Ahmed"
"Anna-Sophie",2,"pankow","f","f-Anna-Sophie"
"Aiden",2,"pankow","m","m-Aiden"
"Annabel",2,"pankow","f","f-Annabel"
"Aljoscha",2,"pankow","m","m-Aljoscha"
"Annabelle",2,"pankow","f","f-Annabelle"
"Alon",2,"pankow","m","m-Alon"
"Ariana",2,"pankow","f","f-Ariana"
"Amadeo",2,"pankow","m","m-Amadeo"
"Aurélie",2,"pankow","f","f-Aurélie"
"Amaru",2,"pankow","m","m-Amaru"
"Aylin",2,"pankow","f","f-Aylin"
"Amin",2,"pankow","m","m-Amin"
"Bea",2,"pankow","f","f-Bea"
"Amir",2,"pankow","m","m-Amir"
"Beatrice",2,"pankow","f","f-Beatrice"
"Andre",2,"pankow","m","m-Andre"
"Bella",2,"pankow","f","f-Bella"
"Arian",2,"pankow","m","m-Arian"
"Brigitte",2,"pankow","f","f-Brigitte"
"Armin",2,"pankow","m","m-Armin"
"Cara",2,"pankow","f","f-Cara"
"Arno",2,"pankow","m","m-Arno"
"Catalina",2,"pankow","f","f-Catalina"
"Artus",2,"pankow","m","m-Artus"
"Celina",2,"pankow","f","f-Celina"
"Arvo",2,"pankow","m","m-Arvo"
"Charlie",2,"pankow","f","f-Charlie"
"Augustin",2,"pankow","m","m-Augustin"
"Chelsea",2,"pankow","f","f-Chelsea"
